section,name,size,price_lei,description,allergens,nutrition
"Tării, vinuri și cocktailuri","Campari Orange","250 ml","29","","",""
"Tării, vinuri și cocktailuri","Gin Tonic","250 ml","29","","",""
"Tării, vinuri și cocktailuri","Vodka Juice","250 ml","29","","",""
"Tării, vinuri și cocktailuri","Gin Tonic cu arome","250 ml","29","","",""
"Tării, vinuri și cocktailuri","Hugo","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Aperol Spritz","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Negroni","350 ml","35","","",""
"Tării, vinuri și cocktailuri","Piña Colada","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Blue Hawaiian","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Mojito","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Tequila Sunrise","350 ml","32","","",""
"Tării, vinuri și cocktailuri","Hugo 0.0","350 ml","30","","",""
"Tării, vinuri și cocktailuri","Gin Tonic 0.0","350 ml","30","","",""
"Tării, vinuri și cocktailuri","Green Apple","350 ml","30","","",""
"Tării, vinuri și cocktailuri","Virgin Piña Colada","350 ml","30","","",""
"Tării, vinuri și cocktailuri","Sex on the Beach 0.0","350 ml","30","","",""
"Tării, vinuri și cocktailuri","Castel Huniade Fetească Regală","0,75 L","65","","",""
"Tării, vinuri și cocktailuri","Castel Huniade Sarbă","0,75 L","65","","",""
"Tării, vinuri și cocktailuri","Implicit Chardonnay","0,75 L","95","","",""
"Tării, vinuri și cocktailuri","Sole Fetească Regală","0,75 L","130","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol. II Aligoté","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol. II Sauvignon Blanc Fumé","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Spirit","0,75 L","75","","",""
"Tării, vinuri și cocktailuri","Mysterium","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Purcari Sauvignon Blanc","0,75 L","85","","",""
"Tării, vinuri și cocktailuri","Purcari Chardonnay","0,75 L","85","","",""
"Tării, vinuri și cocktailuri","Solo Quinto","0,75 L","170","","",""
"Tării, vinuri și cocktailuri","Tezaur","0,75 L","75","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol. II Sauvignon Blanc","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol.II Fetească Neagră","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol. II Cabernet Sauvignon","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Purcari Fetească Neagră","0,75 L","85","","",""
"Tării, vinuri și cocktailuri","Implicit Fetească Neagră","0,75 L","95","","",""
"Tării, vinuri și cocktailuri","Tezaur Rosé","0,75 L","75","","",""
"Tării, vinuri și cocktailuri","Spirit Rosé","0,75 L","75","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol. II Rosé","0,75 L","90","","",""
"Tării, vinuri și cocktailuri","Purcari Rosé","0,75 L","85","","",""
"Tării, vinuri și cocktailuri","Castel Huniade Rosé","0,75 L","65","","",""
"Tării, vinuri și cocktailuri","Sole Rosé","0,75 L","130","","",""
"Tării, vinuri și cocktailuri","Implicit Rosé","0,75 L","95","","",""
"Tării, vinuri și cocktailuri","Caii de la Letea Vol 1","0,75 L","70","","",""
"Tării, vinuri și cocktailuri","Castel Huniade Fetească Regală","0,150 L","15","","",""
"Tării, vinuri și cocktailuri","Castel Huniade Rosé","0,150 L","15","","",""
